pvalue adj_pvalue weight weighted_pvalue group covariate fold symbol bh
0.892 1 5.91730979646276 0.150744177790593 11 5.67353417655546 3 ABLIM1 1
0.00686 0.296260913611831 2.98754760220994 0.00229619772248166 10 4.46044724066435 5 ABLIM2 0.65462393442623
0.238 1 0.375356525345088 0.634063840454598 9 3.0358314345992 4 ABLIM3 1
1 1 5.5207154440852 0.181135943362446 11 5.88347022614719 5 ABR 1
0.418 1 0.201957859135383 1 1 -5.33187297569655 3 ABRA 1
1 1 0.0766404183385558 1 7 0.123449543078059 3 ABRACL 1
0.467 1 0.0254833920080453 1 4 -1.67716386171465 1 ABRAXAS1 1
0.581 1 0.385724781771319 1 5 -0.936036211344697 5 ABRAXAS2 1
0.588 1 0.11679592833327 1 2 -3.42903839399994 5 ABT1 1
0.0208 0.984999509952246 0.242378328860233 0.0858162530363608 8 0.885556950529154 2 ABTB1 0.828621286031042
0.223 1 0.37284527840381 0.598103323058526 9 2.36972977478986 3 ABTB2 1
0.699 1 0.274566347243145 1 4 -1.96414592721907 4 ACAA1 1
0.67 1 0.272729416610176 1 4 -1.38975016712267 3 ACAA2 1
0.437 1 0.221390839485928 1 7 0.290612139629983 4 ACACB 1
1 1 0.0254833920080453 1 4 -1.70184240100175 1 ACAD10 1
0.296 1 0.221390839485928 1 7 0.672700499472832 4 ACAD11 1
0.676 1 0.365940736211137 1 5 -1.28541491318444 3 ACAD8 1
0.66 1 0.2874741298107 1 4 -1.41557096076591 5 ACAD9 1
0.179 1 0.363558486252013 0.492355444223959 5 -1.37314014003302 1 ACADL 1
0.519 1 0.0786778673396068 1 6 -0.496563001772551 2 ACADM 1
1 1 0 1 2 -3.79145661656423 1 ACADS 1
0.205 1 0.37284527840381 0.549825924784744 9 1.86261081958734 3 ACADSB 1
0.671 1 0.221390839485928 1 8 1.63418268036112 4 ACADVL 1
0.644 1 0 1 3 -2.47220439471837 2 ACAN 1
0.983 1 0.0254833920080453 1 4 -1.70654722874633 1 ACAP1 1
0.353 0.929865561883484 5.1236008176401 0.068896858393935 11 6.74492675283909 4 ACAP2 1
1 1 4.07367989367099 0.245478296307384 10 3.77178097887028 3 ACAP3 1
0.743 1 0.00325203937274412 1 6 -0.351266644212869 3 ACAT1 1
1 1 0.363558486252013 1 5 -1.2819247327381 1 ACAT2 1
0.0141 0.429457856512348 2.98754760220994 0.00471959007099 10 3.81770676526969 5 ACBD3 0.818034219269103
0.895 1 0 1 3 -2.21177804807766 3 ACBD4 1
0.676 1 0.385724781771319 1 8 1.42629293124989 5 ACBD5 1
1 1 0.167031115853511 1 6 0.0271771890904886 1 ACBD7 1
0.474 1 0 1 2 -3.80586506930917 1 ACCS 1
0.424 1 0.0213350353753258 1 2 -3.05829515031979 3 ACCSL 1
0.28 1 0.300594787754451 0.931486544033909 4 -1.6126937722695 2 ACD 1
0.562 1 0.167031115853511 1 6 -0.463383114279612 1 ACE 1
1 1 0.212876412581341 1 1 -5.24491083580537 5 ACE2 1
0.256 1 0.0287657796889068 1 1 -5.12138113079947 2 ACER1 1
0.528 1 0.167031115853511 1 6 0.0307706477896406 1 ACER2 1
0.336 0.930142368097883 4.82193052456063 0.0696816344177038 10 3.34110217098216 2 ACER3 1
0.0555 1 0.242378328860233 0.228980867476828 8 1.70741766438345 2 ACHE 1
0.18 0.799876604753416 5.1236008176401 0.0351315425238196 11 5.70909224324216 4 ACIN1 1
0.417 1 0.385724781771319 1 7 0.477254253662779 5 ACKR1 1
1 1 0.0761414942905123 1 7 0.418685522336184 1 ACKR2 1
0.51 1 0.218478071455209 1 8 1.11403329893399 1 ACKR3 1
0.444 1 0.40332971521484 1 5 -0.907350316862217 2 ACKR4 1
0.84 1 0.385724781771319 1 9 2.44301499056728 5 ACLY 1
0.721 1 0.0287657796889068 1 1 -4.87376669607223 2 ACMSD 1
0.156 1 0.0766404183385558 1 7 0.587140873881199 3 ACO1 1
0.89 1 0.242378328860233 1 7 0.0908239476945699 2 ACO2 1
0.779 1 0.385724781771319 1 7 0.404069315774364 5 ACOD1 1
0.171 1 0 1 3 -2.19959975401055 2 ACOT1 1
1 1 0.167031115853511 1 6 0.0633546791574979 1 ACOT11 1
1 1 0.201957859135383 1 1 -5.88029125126804 3 ACOT12 1
0.752 1 0.0214787345058515 1 2 -3.71826831198477 4 ACOT13 1
0.217 1 0.274566347243145 0.79033720694049 4 -2.02624234526674 4 ACOT2 1
0.0627 1 0.11679592833327 0.536833782604897 3 -3.02696912785255 5 ACOT4 1
0.479 1 0.11679592833327 1 2 -3.88202548298145 5 ACOT6 1
0.876 1 0.363558486252013 1 5 -0.538114947469433 1 ACOT7 1
0.774 1 0.0214787345058515 1 2 -3.42144023433883 4 ACOT8 1
0.0853 1 0.242378328860233 0.351929153076999 7 0.405695717929447 2 ACOT9 1
0.795 1 0.218478071455209 1 8 1.6751395032844 1 ACOX1 1
0.507 1 0.11679592833327 1 2 -3.12267285541006 5 ACOX2 1
0.119 1 0.167031115853511 0.712442106322062 6 -0.170803333708563 1 ACOX3 1
